Grid ID,Latitude,Longitude
5081,24.125,-59.875
5082,24.125,-59.625
5083,24.125,-59.375
5084,24.125,-59.125
5085,24.125,-58.875
5086,24.125,-58.625
5087,24.125,-58.375
5088,24.125,-58.125
5089,24.125,-57.875
5090,24.125,-57.625
5091,24.125,-57.375
5092,24.125,-57.125
5093,24.125,-56.875
5094,24.125,-56.625
5095,24.125,-56.375
5096,24.125,-56.125
5097,24.125,-55.875
5098,24.125,-55.625
5099,24.125,-55.375
5100,24.125,-55.125
5101,24.375,-129.875
5102,24.375,-129.625
5103,24.375,-129.375
5104,24.375,-129.125
5105,24.375,-128.875
5106,24.375,-128.625
5107,24.375,-128.375
5108,24.375,-128.125
5109,24.375,-127.875
5110,24.375,-127.625
5111,24.375,-127.375
5112,24.375,-127.125
5113,24.375,-126.875
5114,24.375,-126.625
5115,24.375,-126.375
5116,24.375,-126.125
5117,24.375,-125.875
5118,24.375,-125.625
5119,24.375,-125.375
5120,24.375,-125.125
5121,24.375,-124.875
5122,24.375,-124.625
5123,24.375,-124.375
5124,24.375,-124.125
5125,24.375,-123.875
5126,24.375,-123.625
5127,24.375,-123.375
5128,24.375,-123.125
5129,24.375,-122.875
5130,24.375,-122.625
5131,24.375,-122.375
5132,24.375,-122.125
5133,24.375,-121.875
5134,24.375,-121.625
5135,24.375,-121.375
5136,24.375,-121.125
5137,24.375,-120.875
5138,24.375,-120.625
5139,24.375,-120.375
5140,24.375,-120.125
5141,24.375,-119.875
5142,24.375,-119.625
5143,24.375,-119.375
5144,24.375,-119.125
5145,24.375,-118.875
5146,24.375,-118.625
